test_yr,train,pairs,ir,n_months,ann,sharpe,mdd,win
2007,2002-2006,"[('max_rev', 'gap'), ('max_rev', 'sr5'), ('amihud', 'max_rev'), ('gap', 'sr5')]","[np.float64(0.3760373140429897), np.float64(0.3329301054781773), np.float64(0.17864521290821458), np.float64(0.1741510498441144)]",12,1.3056378971208105,2.2639920499235653,-0.23054440348726968,66.66666666666666
2008,2003-2007,"[('max_rev', 'sr5'), ('max_rev', 'gap'), ('amihud', 'max_rev'), ('gap', 'sr5')]","[np.float64(0.34558034986078173), np.float64(0.26707697556852006), np.float64(0.1765494690946328), np.float64(0.11505331304396522)]",12,-0.8491041034179582,-1.3973409582061875,-0.7359253015765079,41.66666666666667
2009,2004-2008,"[('max_rev', 'sr5'), ('max_rev', 'gap'), ('amihud', 'max_rev'), ('gap', 'sr5')]","[np.float64(0.3601780224895786), np.float64(0.18324240273324144), np.float64(0.170799914080995), np.float64(0.13095239904473935)]",12,0.7943078088937514,2.2674214138439917,-0.19522699505998675,91.66666666666666
2010,2005-2009,"[('max_rev', 'sr5'), ('amihud', 'max_rev'), ('gap', 'sr5'), ('max_rev', 'gap')]","[np.float64(0.48421017783134385), np.float64(0.23733051116579038), np.float64(0.23230450085516025), np.float64(0.20213796198406314)]",12,0.03715659942068234,0.11011114644108576,-0.27209569972608727,41.66666666666667
2011,2006-2010,"[('max_rev', 'sr5'), ('amihud', 'max_rev'), ('max_rev', 'gap'), ('gap', 'sr5')]","[np.float64(0.4316036140440455), np.float64(0.2368393191300264), np.float64(0.14642555346549374), np.float64(0.12631233606889763)]",12,-0.5115983090601594,-1.86535604105755,-0.43925097476060937,33.33333333333333
2012,2007-2011,"[('max_rev', 'sr5'), ('amihud', 'max_rev'), ('max_rev', 'gap'), ('sr5', 'vp_corr')]","[np.float64(0.5433569454293049), np.float64(0.2769939799003674), np.float64(0.18126527392289216), np.float64(0.1514184227581847)]",12,0.08487211310360845,0.2189388449911717,-0.2668903627965471,50.0
2013,2008-2012,"[('max_rev', 'sr5'), ('max_rev', 'gap'), ('amihud', 'max_rev'), ('max_rev', 'vp_corr')]","[np.float64(0.7637353019150303), np.float64(0.38980360298542027), np.float64(0.38522461428374527), np.float64(0.3055594970234193)]",12,-0.09458907507059286,-0.32430081588295495,-0.24402210310653316,50.0
2014,2009-2013,"[('max_rev', 'sr5'), ('amihud', 'max_rev'), ('max_rev', 'gap'), ('gap', 'sr5')]","[np.float64(0.6762170208739852), np.float64(0.5277284671417578), np.float64(0.3771023649584897), np.float64(0.21578949524048954)]",12,0.2746851394550456,1.035316081876944,-0.11036895204164254,41.66666666666667
2015,2010-2014,"[('amihud', 'max_rev'), ('max_rev', 'sr5'), ('max_rev', 'vp_corr'), ('max_rev', 'gap')]","[np.float64(0.37021122303493786), np.float64(0.3117807653462159), np.float64(0.1817043914747292), np.float64(0.178487880202153)]",12,0.8386867167498241,1.6293572022404028,-0.41368272585295707,75.0
2016,2011-2015,"[('amihud', 'max_rev'), ('max_rev', 'sr5'), ('amihud', 'sr5'), ('max_rev', 'gap')]","[np.float64(0.28435611339849215), np.float64(0.13061763773343713), np.float64(0.13050881297763317), np.float64(-0.021489187837738153)]",12,0.2660157314604331,0.855827596136337,-0.04314855350820046,66.66666666666666
2017,2012-2016,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('amihud', 'vp_corr')]","[np.float64(0.29600998178372556), np.float64(0.24365791682632318), np.float64(0.10106714007115532), np.float64(-0.07820218444461745)]",12,-0.39834937723551134,-1.671609248108993,-0.34476459565508055,33.33333333333333
2018,2013-2017,"[('amihud', 'sr5'), ('amihud', 'max_rev'), ('max_rev', 'sr5'), ('amihud', 'vp_corr')]","[np.float64(0.19485398191501282), np.float64(0.15127807156767048), np.float64(0.011972433602093288), np.float64(-0.050195697609938035)]",12,-0.5273594763960708,-3.1878653483123762,-0.3818242704396474,25.0
2019,2014-2018,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('amihud', 'vp_corr'), ('max_rev', 'sr5')]","[np.float64(0.19466570125697014), np.float64(0.18833169094982496), np.float64(0.03808079488353829), np.float64(-0.05074459458954133)]",12,0.29102726572603976,0.8630010594075028,-0.1689482580347429,66.66666666666666
2020,2015-2019,"[('amihud', 'sr5'), ('amihud', 'max_rev'), ('amihud', 'vp_corr'), ('max_rev', 'sr5')]","[np.float64(0.3313737618208853), np.float64(0.2849841367736043), np.float64(0.04732716605588821), np.float64(0.029464468969774307)]",12,0.02566935075014555,0.09439715429485741,-0.15661168354910693,58.333333333333336
2021,2016-2020,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('amihud', 'vp_corr')]","[np.float64(0.22617134182011212), np.float64(0.2112185941586839), np.float64(0.09340888201251464), np.float64(0.005882522547750559)]",12,0.5158691674879149,1.9928969062469797,-0.0201735697626102,66.66666666666666
2022,2017-2021,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('max_rev', 'vp_corr')]","[np.float64(0.2621926509102724), np.float64(0.23237287249828048), np.float64(0.12420765592642068), np.float64(0.09888295076253857)]",12,-0.21468230786494946,-0.7474648440019682,-0.26135088134333295,50.0
2023,2018-2022,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('max_rev', 'vp_corr')]","[np.float64(0.4434891615380252), np.float64(0.3896930746283007), np.float64(0.2773758306906586), np.float64(0.23744246349389336)]",12,-0.02565930348749807,-0.17159725499415784,-0.16573747619214885,50.0
2024,2019-2023,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('amihud', 'gap')]","[np.float64(0.43970716726779085), np.float64(0.42971284424732153), np.float64(0.3415266518814631), np.float64(0.2155906139043579)]",12,0.38037442180580894,0.6718257254449505,-0.29672388610238676,50.0
2025,2020-2024,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('max_rev', 'vp_corr')]","[np.float64(0.4243705631624167), np.float64(0.3602842488248363), np.float64(0.3513372234530191), np.float64(0.3053616127018454)]",12,0.47496796427960697,3.518043102398804,-0.02674108958316712,91.66666666666666
2026,2021-2025,"[('amihud', 'max_rev'), ('amihud', 'sr5'), ('max_rev', 'sr5'), ('max_rev', 'vp_corr')]","[np.float64(0.512142954170642), np.float64(0.4361891624932148), np.float64(0.33561566459132275), np.float64(0.29310846149420977)]",5,0.11459093416010863,0.516836314734688,-0.08422687795140704,60.0
