date,ret,n,yr,test_yr,train,mcap_med
2007-01,0.19448880684547484,15,2007,2007,2002-2006,0.0
2007-02,0.2800087198470565,15,2007,2007,2002-2006,0.0
2007-03,0.14940797886520646,15,2007,2007,2002-2006,0.0
2007-04,0.2796131154286785,15,2007,2007,2002-2006,0.0
2007-05,0.12875124661759682,15,2007,2007,2002-2006,0.0
2007-06,-0.23054440348726968,15,2007,2007,2002-2006,0.0
2007-07,0.2265288269976721,15,2007,2007,2002-2006,0.0
2007-08,0.1885645913625245,15,2007,2007,2002-2006,0.0
2007-09,-0.020690080399272108,15,2007,2007,2002-2006,0.0
2007-10,-0.09804931589123143,15,2007,2007,2002-2006,0.0
2007-11,-0.08292733608590723,15,2007,2007,2002-2006,0.0
2007-12,0.2904857470202813,15,2007,2007,2002-2006,0.0
2008-01,-0.12510807179282854,15,2008,2008,2003-2007,0.0
2008-02,0.1199433486126825,15,2008,2008,2003-2007,0.0
2008-03,-0.27103201395711,15,2008,2008,2003-2007,0.0
2008-04,0.12742408067389832,15,2008,2008,2003-2007,0.0
2008-05,-0.11330959599853548,15,2008,2008,2003-2007,0.0
2008-06,-0.24485543407198648,15,2008,2008,2003-2007,0.0
2008-07,0.08630863126962085,15,2008,2008,2003-2007,0.0
2008-08,-0.2913729510081242,15,2008,2008,2003-2007,0.0
2008-09,-0.12486545988020006,15,2008,2008,2003-2007,0.0
2008-10,-0.28766687756633585,15,2008,2008,2003-2007,0.0
2008-11,0.2016672673474439,15,2008,2008,2003-2007,0.0
2008-12,0.073762972953517,15,2008,2008,2003-2007,0.0
2009-01,0.1375507607669794,15,2009,2009,2004-2008,0.0
2009-02,0.03868117400635302,15,2009,2009,2004-2008,0.0
2009-03,0.23252663293395073,15,2009,2009,2004-2008,0.0
2009-04,0.03706153930242073,15,2009,2009,2004-2008,0.0
2009-05,0.05380269899158306,15,2009,2009,2004-2008,0.0
2009-06,0.0354761276395982,15,2009,2009,2004-2008,0.0
2009-07,0.18497554097945723,15,2009,2009,2004-2008,0.0
2009-08,-0.1952269950599867,15,2009,2009,2004-2008,0.0
2009-09,0.08142560619635775,15,2009,2009,2004-2008,0.0
2009-10,0.027729888933753638,15,2009,2009,2004-2008,0.0
2009-11,0.11694311739918396,15,2009,2009,2004-2008,0.0
2009-12,0.04336171680410041,15,2009,2009,2004-2008,0.0
2010-01,-0.08774302272168408,15,2010,2010,2005-2009,0.0
2010-02,0.08745152062183838,15,2010,2010,2005-2009,0.0
